Tanggal;Tn;Tx;Tavg;RH_avg;ss;ff_x;ff_avg
14/06/2021;22.9;34;28;78;4;6;2
15/06/2021;23.1;33.5;26.1;86;1.8;5;2
16/06/2021;22;33.5;26.4;79;5;4;1
17/06/2021;22.5;35;27.9;74;7.1;4;2
18/06/2021;21;30.2;25.1;80;9.2;4;1
19/06/2021;21.4;32.6;27.1;81;2.6;5;1
20/06/2021;22.8;34;27.2;74;2.4;5;1
21/06/2021;23;33.9;28.2;71;6.4;6;1
22/06/2021;23.5;34;26.1;83;6.9;11;2
23/06/2021;23.3;34.6;27.6;72;7.3;4;1
24/06/2021;23.6;32;27.4;79;8.8;4;1
25/06/2021;23.8;32.2;27.9;78;5.6;9;2
26/06/2021;22.8;31.5;26.3;80;4.7;3;1
27/06/2021;22.9;33;27.1;74;4.2;6;1
28/06/2021;23.2;34.8;27.8;75;7.4;7;2
29/06/2021;23;30.5;25;87;6.8;10;2
30/06/2021;23;32.8;26.7;78;3.6;3;1
01/07/2021;23.5;33;28.5;73;3.7;5;2
02/07/2021;24;33;27.6;75;7.4;5;1
03/07/2021;23.6;33.6;28.1;73;6.6;6;2
04/07/2021;23.6;32.4;26.8;80;9.2;4;1
05/07/2021;23.9;32;27.3;78;3.7;6;2
06/07/2021;24.3;32.2;27.4;76;7.4;5;1
07/07/2021;24.1;32.8;27.5;74;2.8;5;1
08/07/2021;23.8;34.5;28.2;73;6;5;1
09/07/2021;24.8;34.5;27.7;80;7.3;5;2
10/07/2021;22.3;30.4;25.7;84;2.3;5;2
11/07/2021;23.3;31.5;25.5;86;1.6;6;2
12/07/2021;23.3;32.1;27.3;78;2.1;8;2
13/07/2021;21;29.2;24.4;85;7.2;5;2
14/07/2021;21.7;29;25.2;82;0;6;2
15/07/2021;21;36;27.2;73;0;5;1
16/07/2021;21.6;33.1;27.3;78;8.5;6;2
17/07/2021;23.4;34.2;27.8;78;5.2;6;2
18/07/2021;23.8;34.2;28.1;71;8.8;6;2
19/07/2021;24;33.5;26.5;80;8.2;4;1
20/07/2021;23.4;33.9;27.2;77;3.8;4;1
21/07/2021;23.6;35.1;28;72;6.6;6;2
22/07/2021;23.7;34.5;28.2;74;9.4;5;2
23/07/2021;24.2;34;28.1;76;8.3;6;1
24/07/2021;24;33.6;27.8;76;5.3;7;2
25/07/2021;25.2;33.2;28.9;75;4.8;8;2
26/07/2021;25.9;33.3;28.7;72;7.1;5;2
27/07/2021;24.5;33.5;28.5;68;8.7;6;2
28/07/2021;23.6;34.8;27.8;67;9.6;6;2
29/07/2021;23.3;35.1;28.3;67;8.4;6;2
30/07/2021;23.8;34.6;28;71;8.6;8;2
31/07/2021;22.4;31.6;26.2;84;7.2;4;1
01/08/2021;22.5;32.5;26.8;78;0.6;4;0
02/08/2021;23.8;34.5;28.1;74;1.5;14;1
03/08/2021;22.6;34.7;26.9;79;7.1;5;2
04/08/2021;23.4;29.6;25.3;88;4;5;2
05/08/2021;24;35;28;74;0;3;1
06/08/2021;;34.4;28.1;77;8.7;6;2
07/08/2021;25.1;34;28.7;74;8.5;5;2
08/08/2021;22.6;30.9;25.8;84;5.2;4;1
09/08/2021;22.8;33.6;27.2;76;3.4;4;0
10/08/2021;23.8;33.7;28.2;74;6.5;5;2
11/08/2021;24.4;33.1;27.4;78;8.9;6;2
12/08/2021;24.4;32.8;27.3;80;5.7;7;2
13/08/2021;23.3;34.5;28;72;5.2;7;2
14/08/2021;23.9;33.5;26.1;84;8.5;4;2
15/08/2021;24;32.8;27.2;80;3;5;2
16/08/2021;22.8;32.4;26.6;81;5;6;2
17/08/2021;23.4;31;24.7;89;6.1;6;1
18/08/2021;22.5;31.5;25.1;87;5.1;6;2
19/08/2021;22;31;25.5;84;2.4;5;1
20/08/2021;23.1;31.8;25.8;83;5.2;6;1
21/08/2021;22.3;32.2;26.7;80;1.3;4;1
22/08/2021;22.8;30.5;25.2;86;5.7;5;1
23/08/2021;23.3;31;26.1;84;1.4;5;1
24/08/2021;23.3;32;26.4;81;1.5;4;1
25/08/2021;21.8;32.1;25.9;83;1.7;6;2
26/08/2021;23;32.5;27;79;2.8;4;1
27/08/2021;23.2;33.3;27.7;78;6.7;6;2
28/08/2021;24.2;34.4;28.2;74;5.7;5;2
29/08/2021;23.8;33;27.3;77;9.1;7;2
30/08/2021;22.7;32.5;26.8;79;6.8;6;2
31/08/2021;22.8;33.4;25.9;84;5.1;4;2
01/09/2021;22.6;33;25.5;85;3.3;7;1
02/09/2021;23.4;29.6;25.7;83;4.8;3;1
03/09/2021;23;34;27.8;72;1;5;1
04/09/2021;24.2;33.2;26.6;80;9;4;1
05/09/2021;24;33.7;26;82;4.5;4;1
06/09/2021;23;33;27.2;78;5.1;5;1
07/09/2021;24;32.4;27.5;76;6.8;5;1
08/09/2021;23;33.5;25.3;82;3.6;7;1
09/09/2021;22.6;34.4;27.8;74;4.7;4;1
10/09/2021;23.6;30.6;26.3;86;8;5;2
11/09/2021;23.7;33.5;27.2;78;4.7;5;2
12/09/2021;22.8;29.2;25;89;5.6;3;0
13/09/2021;23;30.4;25.6;86;0;4;1
14/09/2021;22.5;29.8;25.5;83;0.4;3;1
15/09/2021;22.6;34.1;28.3;75;0;4;1
16/09/2021;24.4;34.1;28.5;77;7.5;6;2
17/09/2021;23.6;33.2;27.6;75;6.5;8;2
18/09/2021;24;33.8;27.9;78;6.4;8;3
19/09/2021;24.1;32.5;27.3;76;4.3;6;3
20/09/2021;23.4;34;27.7;74;4.9;7;2
21/09/2021;21.3;31.5;25.2;86;6.8;5;2
22/09/2021;22.9;31.8;25.9;81;4;8;2
23/09/2021;22.3;32.6;26.4;82;2.3;7;2
24/09/2021;23;33.6;27.7;78;5.2;4;1
25/09/2021;22.8;34.5;27.4;74;6.4;3;0
26/09/2021;23.5;33.6;26.6;87;5.6;6;1
27/09/2021;23.2;32.6;26.3;86;3.1;6;1
28/09/2021;23;31;26.4;88;4.3;7;1
29/09/2021;23.4;31.2;27.1;81;2.2;7;2
30/09/2021;23.3;29.2;25.7;88;5.1;3;1
01/10/2021;23.3;33;27.5;76;0.1;5;2
02/10/2021;23.2;34.4;26.1;84;;4;1
03/10/2021;23.9;33.6;27.5;78;0.6;3;1
04/10/2021;24.1;35.4;29;66;4.6;5;1
05/10/2021;24.3;32.6;27.3;76;9.1;5;1
